name
Manouchehr Sotodeh
Mansueto Bianchi
Manuel de la Torre (golfer)
Manuel G. Batshaw
Manuel Tenenbaum
Manuel Velázquez
Manzoor Mirza
Maralin Niska
Marc Riboud
Marcel Artelesa
Marcel Barbeau
Marcel Dubé
Marcello De Cecco
Marco Leto
Marco Pannella
Marcus Turner
Margaret Bakkes
Margaret Forster
Margaret Pardee
Margaret Vinci Heldt
Margot Honecker
Margrit Mondavi
Mari Gilbert
Maria Costa (poet)
Maria Eugénia
Maria Garbowska-Kierczyńska
Maria Isabel Barreno
María Lorenza Barreneche
María Luisa Alcalá
María Rostworowski
Maria Teresa de Filippis
Marian Bergeson
Marian Czapla
Marian Kociniak
Mariana Karr
Marianne Gaba
Marianne Ihlen
Marianne Krencsey
Mariano Mores
Marie L. Garibaldi
Marie Mahoney
Marie-Claire Kirkland
Marilyn Stokstad
Marin Moraru
Marina Malfatti
Marinko Madžgalj
Mario Novelli
Mario Spezi
Marion Campbell
Marion Lambert
